"","AMZN","JPM","DIS","GOOG","KO"
"1040",842.700012,86.565842,106.800064,818.97998,37.816418
"1041",844.140015,86.508507,107.313797,824.159973,38.527111
"1042",845.070007,86.221855,106.683739,828.070007,38.555164
"1043",856.440002,86.967209,106.635284,831.659973,38.770248
"1044",855.609985,87.014977,106.741905,830.76001,38.901161
"1045",852.190002,87.081863,106.363869,831.330017,38.957272
"1046",845.23999,86.317398,106.935768,828.640015,39.069485
"1047",848.640015,86.412964,106.848534,829.280029,38.966614
"1048",845.039978,86.594528,106.712822,823.210022,39.237812
"1049",853.080017,89.442146,107.633675,835.23999,39.424831
"1050",848.909973,88.046989,107.197479,830.630005,39.714722
"1051",849.880005,88.677681,107.827545,829.080017,39.724072
"1052",846.609985,87.836761,107.275032,827.780029,39.443539
"1053",846.02002,87.349426,107.459206,831.909973,39.265862
"1054",850.5,87.158302,107.439812,835.369995,39.265862
"1055",853,87.502319,107.623985,838.679993,39.303268
"1056",852.460022,87.225197,107.517357,843.25,39.546398
"1057",854.590027,87.301651,108.098953,845.539978,39.650173
"1058",852.530029,87.444984,108.864723,845.619995,39.593571
"1059",852.969971,87.655205,108.438225,847.200012,39.735073
"1060",853.419983,87.569214,108.283119,848.780029,39.857712
"1061",852.309998,86.651855,108.331596,852.119995,39.650173
"1062",856.969971,86.030724,109.252449,848.400024,39.791679
"1063",843.200012,83.507996,108.321899,830.460022,40.093559
"1064",848.059998,83.641769,108.641777,829.590027,39.980354
"1065",847.380005,83.507996,108.796875,817.580017,39.782246
"1066",845.609985,83.41243,108.699944,814.429993,39.735073
"1067",846.820007,83.364662,108.932579,819.51001,39.923756
"1068",856,84.664246,109.582031,820.919983,40.027523
"1069",874.320007,84.3489,109.077965,831.409973,40.018082
"1070",876.340027,85.07515,109.708031,831.5,40.187893
"1071",886.539978,83.938004,109.911591,829.559998,40.036957
"1072",891.51001,83.632217,109.727425,838.549988,40.008652
"1073",906.830017,83.910927,109.572327,834.570007,40.263367
"1074",909.280029,83.311638,109.533554,831.409973,40.159599
"1075",898.280029,83.591957,109.582031,827.880005,40.253933
"1076",894.880005,83.301971,109.126442,824.669983,40.19733
"1077",907.039978,83.011986,108.981041,824.72998,40.272797
"1078",902.359985,82.866997,109.601402,823.349976,40.244499
"1079",896.22998,82.548019,109.572327,824.320007,40.50864
"1080",884.669983,81.581421,109.727425,823.559998,40.367138
"1081",901.98999,82.992661,110.289627,837.169983,40.631283
"1082",903.780029,82.316032,110.68705,836.820007,41.018074
"1083",899.200012,81.639412,110.241173,838.210022,40.782223
"1084",902.059998,82.693024,111.268646,841.650024,40.650154
"1085",898.530029,81.697411,110.929382,843.190002,40.631283
"1086",907.409973,84.577881,110.21209,862.76001,40.829391
"1087",907.619995,85.312515,111.646683,872.299988,40.669022
"1088",909.289978,85.476837,112.034409,871.72998,40.791656
"1089",918.380005,84.684219,112.28643,874.25,40.574677
"1090",924.98999,84.094589,112.053802,905.960022,40.706753
"1091",948.22998,84.15258,111.210487,912.570007,40.772789
"1092",946.940002,83.61129,110.861534,916.440002,40.933167
"1093",941.030029,84.094589,108.195885,927.039978,40.867134
"1094",937.530029,84.191246,107.759682,931.659973,41.187874
"1095",934.150024,84.094589,108.554535,927.130005,41.216179
"1096",949.039978,84.191246,108.002022,934.299988,41.404858
"1097",952.820007,83.852943,108.63208,932.169983,41.046371
"1098",948.950012,84.510223,106.296028,928.780029,41.10297
"1099",947.619995,84.249245,106.21846,930.599976,41.197311
"1100",961.349976,84.01725,106.325096,932.219971,41.121838
"1101",957.969971,84.423225,105.782272,937.080017,41.25391
"1102",966.070007,84.684219,104.667557,943,41.367115
"1103",944.76001,81.455765,103.048782,919.619995,41.442589
"1104",958.48999,81.156105,103.407433,930.23999,41.31995
"1105",959.840027,81.948723,104.221664,934.01001,41.414288
"1106",970.669983,81.871399,104.328285,941.859985,41.678432
"1107",971.539978,82.895996,103.737,948.820007,41.876537
"1108",980.349976,82.847672,104.40583,954.960022,42.480305
"1109",993.380005,82.499695,103.979324,969.539978,42.838791
"1110",995.780029,82.509354,105.084366,971.469971,42.819916
"1111",996.700012,81.098114,105.016502,975.880005,42.857655
"1112",994.619995,79.406563,104.628792,964.859985,42.895393
"1113",995.950012,80.286171,104.890495,966.950012,43.197273
"1114",1006.72998,79.880196,103.89209,975.599976,43.291615
"1115",1011.340027,80.025177,103.252335,983.679993,43.385944
"1116",1003,80.189507,102.263634,976.570007,43.376511
"1117",1010.070007,81.107796,102.670746,980.940002,42.933128
"1118",1010.27002,82.113045,101.11982,983.409973,42.574646
"1119",978.309998,84.055916,102.379951,949.830017,42.753883
"1120",964.909973,84.075256,103.756386,942.900024,42.763325
"1121",980.789978,84.355568,103.291107,953.400024,42.829899
"1122",976.469971,84.18158,102.883995,950.76001,43.086704
"1123",964.169983,83.678955,102.728905,942.309998,43.03915
"1124",987.710022,83.301971,102.273315,939.780029,43.096222
"1125",995.169983,85.128853,102.137619,957.369995,43.162796
"1126",992.590027,84.597214,100.751488,950.630005,43.381561
"1127",1002.22998,84.210587,101.585106,959.450012,43.010616
"1128",1001.299988,84.113914,101.022896,957.090027,42.867943
"1129",1003.73999,83.959267,101.1586,965.590027,43.03915
"1130",993.97998,84.326569,102.33149,952.27002,43.210354
"1131",976.780029,85.109528,102.176384,927.330017,42.848923
"1132",990.330017,86.820412,103.581909,940.48999,43.105728
"1133",975.929993,88.105995,102.467186,917.789978,42.639671
"1134",968,88.347656,102.990623,908.72998,42.658691
"1135",953.659973,90.145706,104.163506,898.700012,42.573086
"1136",971.400024,91.049583,102.389633,911.710022,42.630157
"1137",965.140015,90.758011,100.924843,906.690002,42.230682
"1138",978.76001,91.214821,100.895546,918.590027,42.221169
"1139",996.469971,90.573357,101.159203,928.799988,42.211662
"1140",994.130005,90.223457,101.403328,930.090027,42.164097
"1141",1006.51001,89.912445,101.930656,943.830017,42.3353
"1142",1000.630005,90.48587,101.842781,947.159973,42.259216
"1143",1001.809998,89.659744,102.624001,955.98999,42.497002
"1144",1010.039978,88.823891,102.331047,953.419983,42.544556
"1145",1024.449951,88.512871,103.268517,965.400024,42.487484
"1146",1026.869995,88.639221,104.313416,970.890015,42.639671
"1147",1028.699951,88.639221,104.840744,968.150024,42.630157
"1148",1025.670044,88.337929,104.577072,972.919983,42.829899
"1149",1038.949951,88.716988,104.489189,980.340027,42.649181
"1150",1039.869995,90.194305,103.922791,950.700012,43.029636
"1151",1052.800049,89.348724,104.430603,947.799988,43.505215
"1152",1046,88.979393,107.418793,934.090027,43.866638
"1153",1020.039978,88.716988,107.37973,941.530029,43.762012
"1154",987.780029,89.222382,107.350433,930.5,43.600327
"1155",996.190002,90.417839,108.014481,930.830017,43.467163
"1156",995.890015,90.495598,106.119995,930.390015,43.362537
"1157",986.919983,89.902725,106.559441,923.650024,43.438625
"1158",987.580017,91.030151,105.162994,927.960022,43.276936
"1159",992.27002,91.380035,103.854439,929.359985,43.410091
"1160",989.840027,91.049583,104.469658,926.789978,43.372047
"1161",982.01001,90.903801,100.417038,922.900024,43.362537
"1162",956.919983,89.601433,98.971764,907.23999,43.505215
"1163",967.98999,88.85305,99.596748,914.390015,43.362537
"1164",983.299988,89.892998,99.020599,922.669983,43.562279
"1165",982.73999,90.126266,99.128021,922.219971,43.933224
"1166",978.179993,89.504227,99.801819,926.960022,43.942734
"1167",960.570007,88.104668,99.00106,910.97998,43.619347
"1168",958.469971,88.192139,98.337021,910.669983,43.438625
"1169",953.289978,88.08522,98.79599,906.659973,43.448139
"1170",966.900024,88.989113,100.358444,924.690002,43.372047
"1171",958,89.096016,99.118248,927,43.314983
"1172",952.450012,88.950233,99.137772,921.280029,43.19133
"1173",945.26001,89.309845,100.006897,915.890015,43.34351
"1174",946.02002,89.027992,100.153374,913.809998,43.200844
"1175",954.059998,88.54203,100.163132,921.289978,43.229378
"1176",967.590027,88.746124,100.4561,929.570007,43.172306
"1177",980.599976,88.337929,98.825287,939.330017,43.32449
"1178",978.25,89.125183,99.118248,937.340027,43.543247
"1179",965.27002,86.996674,99.215904,928.450012,43.676407
